"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",133566579,-1,"N/A",NA,133566579,NA,283763285,NA,283763285,0
"S4",2007,2007,2007,4,0,0,"M",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",85782367,-1,"N/A",NA,85782367,NA,123431565,123431565,NA,0
"S4",2007,2007,2007,5,1,0,"M",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",1253,"Edible offal of swine, fresh/chilled",8,"kg",62596,-1,"N/A",NA,62596,NA,37950,37950,NA,0
"S4",2007,2007,2007,5,1,0,"X",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",1254,"Edible offal of swine, frozen",8,"kg",39806,-1,"N/A",NA,39806,NA,33262,NA,33262,6
"S4",2007,2007,2007,5,1,0,"M",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",1254,"Edible offal of swine, frozen",8,"kg",387173257,-1,"N/A",NA,387173257,NA,342096067,342096067,NA,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",161,"Bacon, ham and other salted, dried or smoked meat of swine",8,"kg",782685,-1,"N/A",NA,782685,NA,1826823,NA,1826823,0
"S4",2007,2007,2007,4,0,0,"M",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",161,"Bacon, ham and other salted, dried or smoked meat of swine",8,"kg",560,-1,"N/A",NA,560,NA,6242,6242,NA,0
"S4",2007,2007,2007,4,1,0,"X",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",134723846,-1,"N/A",NA,134723846,NA,360393766,NA,360393766,0
"S4",2007,2007,2007,4,1,0,"M",156,"China","CHN",0,"World","W00",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",95465,-1,"N/A",NA,95465,NA,469605,469605,NA,0
"S4",2007,2007,2007,4,1,0,"X",156,"China","CHN",4,"Afghanistan","AFG",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",17433,-1,"N/A",NA,17433,NA,23513,NA,23513,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",8,"Albania","ALB",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",5158241,-1,"N/A",NA,5158241,NA,7781435,NA,7781435,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",12,"Algeria","DZA",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",25500,-1,"N/A",NA,25500,NA,37150,NA,37150,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",24,"Angola","AGO",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",201765,-1,"N/A",NA,201765,NA,437610,NA,437610,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",24,"Angola","AGO",0,"World","W00","C00","All CPCs",0,"All MOTs",161,"Bacon, ham and other salted, dried or smoked meat of swine",8,"kg",4250,-1,"N/A",NA,4250,NA,16031,NA,16031,0
"S4",2007,2007,2007,4,1,0,"X",156,"China","CHN",24,"Angola","AGO",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",152906,-1,"N/A",NA,152906,NA,255586,NA,255586,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",31,"Azerbaijan","AZE",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",75000,-1,"N/A",NA,75000,NA,91500,NA,91500,0
"S4",2007,2007,2007,5,1,0,"M",156,"China","CHN",32,"Argentina","ARG",0,"World","W00","C00","All CPCs",0,"All MOTs",1254,"Edible offal of swine, frozen",8,"kg",27084,-1,"N/A",NA,27084,NA,20600,20600,NA,0
"S4",2007,2007,2007,4,1,0,"X",156,"China","CHN",36,"Australia","AUS",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",188985,-1,"N/A",NA,188985,NA,353696,NA,353696,0
"S4",2007,2007,2007,5,1,0,"M",156,"China","CHN",40,"Austria","AUT",0,"World","W00","C00","All CPCs",0,"All MOTs",1254,"Edible offal of swine, frozen",8,"kg",67605,-1,"N/A",NA,67605,NA,52288,52288,NA,0
"S4",2007,2007,2007,4,0,0,"X",156,"China","CHN",51,"Armenia","ARM",0,"World","W00","C00","All CPCs",0,"All MOTs",122,"Meat of swine, fresh, chilled or frozen",8,"kg",308300,-1,"N/A",NA,308300,NA,577946,NA,577946,0
"S4",2007,2007,2007,5,1,0,"M",156,"China","CHN",56,"Belgium","BEL",0,"World","W00","C00","All CPCs",0,"All MOTs",1254,"Edible offal of swine, frozen",8,"kg",109986,-1,"N/A",NA,109986,NA,70725,70725,NA,0
"S4",2007,2007,2007,4,1,0,"M",156,"China","CHN",56,"Belgium","BEL",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",38,-1,"N/A",NA,38,NA,297,297,NA,0
"S4",2007,2007,2007,5,1,0,"M",156,"China","CHN",76,"Brazil","BRA",0,"World","W00","C00","All CPCs",0,"All MOTs",1254,"Edible offal of swine, frozen",8,"kg",68403,-1,"N/A",NA,68403,NA,53027,53027,NA,0
"S4",2007,2007,2007,4,1,0,"X",156,"China","CHN",76,"Brazil","BRA",0,"World","W00","C00","All CPCs",0,"All MOTs",175,"Meat & offal (other than liver), of swine, prepared/preserved, n.e.s.",8,"kg",69328,-1,"N/A",NA,69328,NA,144041,NA,144041,0
